"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.835491125E0,1.862127686E-1,1.610500946E0,9.569450226E0
3.845456125E0,1.692979431E-1,1.571282501E0,9.608219604E0
3.855421125E0,1.288819885E-1,1.571432190E0,9.664652252E0
3.865387125E0,1.513352966E-1,1.566791840E0,9.653575287E0
3.875352125E0,1.954934692E-1,1.588496704E0,9.637558594E0
3.885318125E0,2.474354553E-1,1.599274292E0,9.611662445E0
3.895283125E0,2.796185303E-1,1.599423981E0,9.575138397E0
3.905249125E0,2.908451843E-1,1.632205811E0,9.530381470E0
3.915214125E0,2.775228882E-1,1.658401337E0,9.528136139E0
3.925180125E0,2.808160400E-1,1.636546783E0,9.614356842E0
3.935145125E0,2.871029663E-1,1.631457367E0,9.705816650E0
3.945111125E0,2.915936279E-1,1.617236938E0,9.766889648E0
3.955076125E0,2.752775574E-1,1.585951996E0,9.783505096E0
3.965042125E0,2.746788025E-1,1.582509155E0,9.812245331E0
3.975007125E0,3.083587646E-1,1.583706665E0,9.832602997E0
3.984973125E0,3.806584167E-1,1.582658844E0,9.818232880E0
3.994938125E0,4.526586914E-1,1.599573669E0,9.735754395E0
4.004903125E0,4.402345276E-1,1.641187134E0,9.686806183E0
4.014869125E0,4.016148376E-1,1.676513672E0,9.587412872E0
4.024834125E0,3.767665100E-1,1.708996124E0,9.514664154E0
4.034800125E0,3.588038635E-1,1.697769470E0,9.494156799E0
4.044765125E0,3.444337463E-1,1.664688263E0,9.522447968E0
4.054731125E0,3.207829285E-1,1.642085266E0,9.561816101E0
4.064696125E0,2.740800476E-1,1.622326355E0,9.648186493E0
4.074662125E0,2.761756897E-1,1.597627716E0,9.720186768E0
4.084627125E0,3.058140564E-1,1.584305420E0,9.740993500E0
4.094593125E0,3.341052246E-1,1.571282501E0,9.723330231E0
4.104558125E0,3.600013733E-1,1.594334564E0,9.653575287E0
4.114524125E0,3.451821899E-1,1.627715149E0,9.596543884E0
4.124489125E0,3.302133179E-1,1.654060364E0,9.557624817E0
