"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.690408974E0,-1.276350021E-2,2.255962610E0,9.788411140E0
1.695461474E0,-2.234550007E-2,2.220030069E0,9.776433945E0
1.700514026E0,-4.390500113E-2,2.200865984E0,9.814762115E0
1.705566578E0,-7.744199783E-2,2.162538052E0,9.843507767E0
1.710619130E0,-8.462850004E-2,2.136187553E0,9.857880592E0
1.715663922E0,-7.744199783E-2,2.114628077E0,9.877044678E0
1.720716474E0,-7.744199783E-2,2.071508884E0,9.860276222E0
1.725769026E0,-5.109149963E-2,2.066718102E0,9.809970856E0
1.730821578E0,-2.474099956E-2,2.083486557E0,9.774038315E0
1.735874078E0,2.316899970E-2,2.119419098E0,9.807575226E0
1.740926630E0,8.066099882E-2,2.169724464E0,9.865067482E0
1.745971630E0,1.118025035E-1,2.222425461E0,9.850694656E0
1.751024182E0,1.405484974E-1,2.277522087E0,9.865067482E0
1.756076734E0,8.545199782E-2,2.282313108E0,9.884231567E0
1.761129234E0,9.024299681E-2,2.301476955E0,9.877044678E0
1.766181786E0,1.070114970E-1,2.315850019E0,9.872254372E0
1.771234338E0,1.094070002E-1,2.323036432E0,9.821948051E0
1.776280432E0,1.070114970E-1,2.303872585E0,9.747688293E0
1.781332984E0,5.191500112E-2,2.289499521E0,9.697382927E0
1.786385536E0,6.389249861E-2,2.315850019E0,9.611144066E0
1.791438036E0,1.022204980E-1,2.330223083E0,9.532093048E0
1.796490588E0,1.165935025E-1,2.339804888E0,9.450646400E0
1.801543140E0,9.982500225E-2,2.315850019E0,9.402735710E0
1.806583140E0,1.046160012E-1,2.303872585E0,9.352430344E0
1.811635692E0,1.118025035E-1,2.303872585E0,9.299729347E0
1.816688245E0,5.431050062E-2,2.248775959E0,9.235051155E0
1.821740745E0,-3.911399841E-2,2.248775959E0,9.237446785E0
1.826793297E0,-1.205610037E-1,2.267940044E0,9.335661888E0
1.831845849E0,-1.445160061E-1,2.260753393E0,9.323684692E0
1.836900172E0,-1.828439981E-1,2.255962610E0,9.321289062E0
1.841952724E0,-2.020079941E-1,2.200865984E0,9.357221603E0
1.847005276E0,-1.876350045E-1,2.203261614E0,9.383571625E0
1.852057776E0,-1.612845063E-1,2.169724464E0,9.450646400E0
1.857110328E0,-2.091944963E-1,2.121814489E0,9.505742073E0
1.862162880E0,-2.259629965E-1,2.085881948E0,9.527301788E0
1.867201890E0,-2.738730013E-1,2.037971973E0,9.548861504E0
1.872254442E0,-3.241784871E-1,2.042762995E0,9.589585304E0
1.877306995E0,-3.936479986E-1,2.018807888E0,9.603958130E0
1.882359495E0,-4.176029861E-1,1.997248530E0,9.651867867E0
1.887412047E0,-3.625065088E-1,1.987666488E0,9.625517845E0
1.892464599E0,-3.313649893E-1,1.997248530E0,9.620726585E0
1.897500692E0,-2.930369973E-1,1.980479956E0,9.615935326E0
1.902553245E0,-2.283585072E-1,2.035576582E0,9.544070244E0
1.907605797E0,-1.684709936E-1,2.071508884E0,9.529697418E0
1.912658349E0,-1.085835025E-1,2.109837055E0,9.496160507E0
1.917710849E0,-8.223299682E-2,2.117023468E0,9.448250771E0
1.922763401E0,-9.660600126E-2,2.162538052E0,9.457832336E0
1.927840015E0,-8.941949904E-2,2.157747030E0,9.429086685E0
1.932892567E0,-1.085835025E-1,2.208052397E0,9.426691055E0
1.937945120E0,-1.229564995E-1,2.229612112E0,9.414713860E0
1.942997620E0,-1.277475059E-1,2.215239048E0,9.433877945E0
1.948050172E0,-1.660754979E-1,2.181701899E0,9.469809532E0
1.953102724E0,-2.427314967E-1,2.107441425E0,9.472205162E0
1.958128817E0,-3.289695084E-1,2.059531450E0,9.522510529E0
1.963181370E0,-3.768795133E-1,2.059531450E0,9.599166870E0
1.968233922E0,-4.798859954E-1,2.025994539E0,9.649472237E0
1.973286422E0,-5.325869918E-1,1.946943045E0,9.692591667E0
1.978338974E0,-5.709149837E-1,1.937361002E0,9.745292664E0
1.983391526E0,-5.804970264E-1,1.930174470E0,9.776433945E0
1.988425901E0,-5.972654819E-1,1.899032950E0,9.786016464E0
1.993478453E0,-5.804970264E-1,1.867891550E0,9.783620834E0
1.998531005E0,-5.325869918E-1,1.887055516E0,9.759665489E0
2.003583505E0,-5.397735238E-1,1.896637559E0,9.702173233E0
2.008636057E0,-5.110275149E-1,1.908614993E0,9.680614471E0
2.013688609E0,-4.679085016E-1,1.954129457E0,9.680614471E0
2.018743609E0,-4.152075052E-1,2.014017105E0,9.726128578E0
2.023796161E0,-3.864614964E-1,2.059531450E0,9.723732948E0
2.028848713E0,-3.553200066E-1,2.052345037E0,9.706964493E0
2.033901213E0,-3.385514915E-1,2.054740429E0,9.697382927E0
2.038953765E0,-3.912524879E-1,2.037971973E0,9.718941689E0
2.044006317E0,-4.152075052E-1,2.047554016E0,9.721337318E0
2.049056370E0,-4.439535141E-1,2.052345037E0,9.718941689E0
